date,symbol,actual_units,weight,economic_target,declared_units,stop,close,stop_broken,price_exit,ready,entry,score,cap,cash_fraction,reason
2023-01-03,sh603986,0,0,,0,0,101.48999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688008,0,0,,0,0,61.023000000000003,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sz300308,0,0,,0,0,17.975999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sz300394,0,0,,0,0,7.6120000000000001,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sz300502,0,0,,0,0,7.9329999999999998,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-04,sh603986,0,0,,0,0,98.700000000000003,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-04,sh688008,0,0,,0,0,61.673000000000002,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-04,sz300308,0,0,,0,0,18.248999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-04,sz300394,0,0,,0,0,7.8559999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-04,sz300502,0,0,,0,0,7.9729999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-05,sh603986,0,0,,0,0,100.95,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-05,sh688008,0,0,,0,0,63.563000000000002,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-05,sz300308,0,0,,0,0,18.241,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-05,sz300394,0,0,,0,0,7.8529999999999998,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-05,sz300502,0,0,,0,0,8.0670000000000002,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-06,sh603986,0,0,,0,0,101.17,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-06,sh688008,0,0,,0,0,62.482999999999997,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-06,sz300308,0,0,,0,0,18.062000000000001,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-06,sz300394,0,0,,0,0,7.7290000000000001,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-06,sz300502,0,0,,0,0,8.1219999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-09,sh603986,0,0,,0,0,103.34999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-09,sh688008,0,0,,0,0,62.283000000000001,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-09,sz300308,0,0,,0,0,17.904,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
